,County,Year,Month,None,D0,D1,D2,D3,D4
0,Baltimore City,2000,1,100.0,0.0,0.0,0.0,0.0,0.0
1,Baltimore City,2000,2,100.0,0.0,0.0,0.0,0.0,0.0
2,Baltimore City,2000,3,100.0,0.0,0.0,0.0,0.0,0.0
3,Baltimore City,2000,4,100.0,0.0,0.0,0.0,0.0,0.0
4,Baltimore City,2000,5,100.0,0.0,0.0,0.0,0.0,0.0
5,Baltimore City,2000,6,100.0,0.0,0.0,0.0,0.0,0.0
6,Baltimore City,2000,7,100.0,0.0,0.0,0.0,0.0,0.0
7,Baltimore City,2000,8,100.0,0.0,0.0,0.0,0.0,0.0
8,Baltimore City,2000,9,100.0,0.0,0.0,0.0,0.0,0.0
9,Baltimore City,2000,10,100.0,0.0,0.0,0.0,0.0,0.0
10,Baltimore City,2000,11,75.0,25.0,0.0,0.0,0.0,0.0
11,Baltimore City,2000,12,100.0,0.0,0.0,0.0,0.0,0.0
12,Baltimore City,2001,1,100.0,0.0,0.0,0.0,0.0,0.0
13,Baltimore City,2001,2,100.0,0.0,0.0,0.0,0.0,0.0
14,Baltimore City,2001,3,100.0,0.0,0.0,0.0,0.0,0.0
15,Baltimore City,2001,4,100.0,0.0,0.0,0.0,0.0,0.0
16,Baltimore City,2001,5,40.0,20.0,40.0,0.0,0.0,0.0
17,Baltimore City,2001,6,100.0,0.0,0.0,0.0,0.0,0.0
18,Baltimore City,2001,7,100.0,0.0,0.0,0.0,0.0,0.0
19,Baltimore City,2001,8,80.5125,19.4875,0.0,0.0,0.0,0.0
20,Baltimore City,2001,9,30.72,69.28,0.0,0.0,0.0,0.0
21,Baltimore City,2001,10,60.0,20.0,20.0,0.0,0.0,0.0
22,Baltimore City,2001,11,0.0,0.0,100.0,0.0,0.0,0.0
23,Baltimore City,2001,12,0.0,0.0,92.22,7.779999999999999,0.0,0.0
24,Baltimore City,2002,1,0.0,0.0,93.24199999999999,6.758,0.0,0.0
25,Baltimore City,2002,2,0.0,0.0,0.3125,49.6875,50.0,0.0
26,Baltimore City,2002,3,0.0,0.0,0.0,0.0,100.0,0.0
27,Baltimore City,2002,4,0.0,0.0,0.0,0.0,100.0,0.0
28,Baltimore City,2002,5,0.0,0.0,0.8025,77.36,21.8375,0.0
29,Baltimore City,2002,6,0.0,0.0,4.3225,95.6775,0.0,0.0
30,Baltimore City,2002,7,0.0,0.0,0.0,63.053999999999995,36.946000000000005,0.0
31,Baltimore City,2002,8,0.0,0.0,0.0,0.0,100.0,0.0
